number_image,number_layer,number_neurons,average,range,computation_time
950,1,32,1.0,0.0,4.971108675003052
950,1,64,1.0,0.0,4.922055244445801
950,1,128,1.0,0.0,4.717957019805908
950,2,96,1.0,0.0,4.923043489456177
950,2,192,1.0,0.0,4.837842226028442
950,3,224,1.0,0.0,5.0702128410339355
1000,1,32,1.0,0.0,4.90528130531311
1000,1,64,1.0,0.0,5.150676012039185
1000,1,128,1.0,0.0,5.228594541549683
1000,2,96,1.0,0.0,5.209038496017456
1000,2,192,1.0,0.0,5.125888824462891
1000,3,224,1.0,0.0,5.410215377807617
1050,1,32,1.0,0.0,5.16782546043396
1050,1,64,1.0,0.0,5.466135501861572
1050,1,128,1.0,0.0,5.516880989074707
1050,2,96,1.0,0.0,5.480658292770386
1050,2,192,1.0,0.0,5.400299310684204
1050,3,224,1.0,0.0,5.639469385147095
1100,1,32,1.0,0.0,5.656661033630371
1100,1,64,1.0,0.0,5.7286036014556885
1100,1,128,1.0,0.0,5.541038990020752
1100,2,96,1.0,0.0,5.774343967437744
1100,2,192,1.0,0.0,5.878563165664673
1100,3,224,1.0,0.0,5.951974391937256
1150,1,32,1.0,0.0,5.99558687210083
1150,1,64,1.0,0.0,5.753747940063477
1150,1,128,1.0,0.0,6.128024578094482
1150,2,96,1.0,0.0,6.072291851043701
1150,2,192,1.0,0.0,6.273221254348755
1150,3,224,1.0,0.0,6.304374694824219
1200,1,32,1.0,0.0,6.293599367141724
1200,1,64,1.0,0.0,6.050509452819824
1200,1,128,1.0,0.0,6.418428897857666
1200,2,96,1.0,0.0,6.377344131469727
1200,2,192,1.0,0.0,6.611551284790039
1200,3,224,1.0,0.0,6.601382732391357
1250,1,32,1.0,0.0,6.5845441818237305
1250,1,64,1.0,0.0,6.626131296157837
1250,1,128,1.0,0.0,6.731367111206055
1250,2,96,1.0,0.0,6.710850477218628
1250,2,192,1.0,0.0,6.8779237270355225
1250,3,224,1.0,0.0,6.928830862045288
1300,1,32,0.6892857142857143,0.9821428571428571,7.412456274032593
1300,1,64,0.9767857142857143,0.0535714285714286,7.4109787940979
1300,1,128,0.9669642857142859,0.0714285714285714,7.591631889343262
1300,2,96,0.8303571428571427,0.9464285714285714,7.5367591381073
1300,2,192,0.9839285714285715,0.0357142857142857,7.779747486114502
1300,3,224,0.9669642857142859,0.0892857142857143,8.049040794372559
1350,1,32,0.9643939393939395,0.09090909090909094,8.901203632354736
1350,1,64,0.9204545454545453,0.18181818181818177,9.214419603347778
1350,1,128,0.9242424242424242,0.1515151515151515,9.135026693344116
1350,2,96,0.943181818181818,0.13636363636363635,9.469123840332031
1350,2,192,0.9803030303030302,0.06060606060606055,9.267796754837036
1350,3,224,0.9530303030303029,0.10606060606060608,9.752132177352905
1400,1,32,0.9006578947368421,0.1578947368421052,10.544733047485352
1400,1,64,0.8789473684210526,0.25,10.721723318099976
1400,1,128,0.8894736842105262,0.17105263157894735,10.738387823104858
1400,2,96,0.9105263157894739,0.14473684210526316,11.014081954956055
1400,2,192,0.9657894736842103,0.03947368421052633,11.137033939361572
1400,3,224,0.9730263157894736,0.03947368421052633,11.322808265686035
